code,product_label,kenya_exported_value_2001,kenya_exported_value_2002,kenya_exported_value_2003,kenya_exported_value_2004,kenya_exported_value_2005,kenya_exported_value_2006,kenya_exported_value_2007,kenya_exported_value_2008,kenya_exported_value_2009,kenya_exported_value_2010,kenya_exported_value_2011,kenya_exported_value_2012,kenya_exported_value_2013,kenya_exported_value_2014,kenya_exported_value_2015,kenya_exported_value_2016,kenya_exported_value_2017,kenya_exported_value_2018
'35,Albuminoidal substances; modified starches; glues; enzymes,836,262,1368,1440,2155,1800,2308,3016,2801,3279,4128,4659,5775,4952,5296,4777,6809,6837
'29,Organic chemicals,660,1346,3659,3259,2810,3243,8318,11358,6826,7819,8630,10845,13278,8424,7010,6966,7637,6791
'01,Live animals,531,983,1240,1210,1672,1123,1085,1232,3281,3690,3023,4084,5431,4213,6021,4052,6417,6586
'40,Rubber and articles thereof,4465,5343,9343,10126,13500,13274,15402,15451,16856,17120,18121,20075,22082,19778,14493,11334,7204,5966
'44,Wood and articles of wood; wood charcoal,11006,8176,10327,11074,11048,16023,16923,15689,12970,10851,12725,12205,31205,13975,7628,5691,4078,4693
'13,"Lac; gums, resins and other vegetable saps and extracts",13012,4426,11851,12422,15748,16122,4756,3784,3178,2359,5967,6078,2486,3889,4845,3899,4065,4489
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",1122,653,2114,1749,1960,2164,3498,2272,2631,2985,3996,3079,4020,4132,4395,3367,3905,4440
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",873,2719,3549,2893,5301,7022,6471,4696,4078,4554,5246,5075,5308,7742,4669,3032,3294,3575
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",459,874,1168,1688,1701,1746,4457,20462,13564,16338,14746,19072,8333,18122,9095,3322,3084,3557
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,82,47,29,111,316,893,921,1063,785,796,2069,2653,1725,1611,1058,1397,1333,3511
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",27,499,151,225,478,364,137,386,224,354,161,818,975,2232,1049,975,415,3259
'05,"Products of animal origin, not elsewhere specified or included",1244,314,472,371,967,633,491,396,320,2389,2814,3784,2642,1584,4145,1807,3859,2549
'18,Cocoa and cocoa preparations,2085,479,2691,5484,3789,2454,3114,4128,4623,6827,3882,5358,6960,4870,3963,2788,2853,2493
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,4508,3573,9671,7633,7508,7261,9625,9007,10833,7094,12558,12583,8591,3229,3334,3500,2921,2463
'79,Zinc and articles thereof,1332,309,645,546,1100,2061,2617,1170,1137,1398,3195,1664,1168,1124,1886,1947,1981,2445
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",1923,1982,3178,5883,5669,4708,2407,2243,1643,2376,2732,3357,4195,3649,2583,2751,2097,2292
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1617,1157,1971,2737,4544,8729,16771,16093,13849,17613,17292,15030,13285,12261,6189,4538,2996,2109
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",92,816,1142,967,1372,1209,912,6404,1395,2200,1933,2847,2077,2238,1928,1853,1906,1878
'97,"Works of art, collectors' pieces and antiques",725,1210,2182,1651,2409,1897,999,1447,1050,1334,2949,1033,773,650,934,733,1126,1797
'89,"Ships, boats and floating structures",152,147,845,27,577,519,1460,1120,818,5913,2039,3212,6711,2367,2479,398,3945,1695
'88,"Aircraft, spacecraft, and parts thereof",161,24670,2509,452,1967,1695,21349,2416,2176,2224,2808,745,1471,1517,213,303,1061,1527
